,NPA,year,voters_participating,board_committee_participation,311_requests,neighborhood_organizations,voter_participation,311_calls,arts_participating_households,board_committee_participants,arts_participation
86,14,2015,259.0,,23.0,5.0,14.0,871.0,,,
87,14,2018,1146.0,1.0,,,62.0,,,5.0,
88,14,2017,396.0,1.06,,,17.0,,,4.0,
89,14,2014,816.0,,,5.0,49.0,,,,
90,14,2012,1496.0,,,,79.0,,,,
91,15,2013,,,39.7,,,820.0,235.0,,30.0
92,15,2016,1294.0,,44.4,,83.0,957.0,,,
93,15,2015,456.0,,37.2,4.0,32.0,797.0,,,
94,15,2018,1070.0,1.0,,,74.0,,,2.0,
95,15,2017,558.0,2.75,,,33.0,,,6.0,
96,15,2014,862.0,,,4.0,63.0,,,,
97,15,2012,1227.0,,,,81.0,,,,
98,16,2013,,,34.0,,,1581.0,145.0,,7.0
99,16,2016,1859.0,,34.5,,71.0,1642.0,,,
100,16,2015,370.0,,31.7,3.0,16.0,1505.0,,,
101,16,2018,1316.0,0.0,,,57.0,,,0.0,
102,16,2017,579.0,0.0,,,19.0,,,0.0,
103,16,2014,1052.0,,,3.0,49.0,,,,
104,16,2012,1893.0,,,,77.0,,,,
105,17,2013,,,36.7,,,1233.0,45.0,,4.0
