NPA,year,Petitioner,FromZone,ToZone,Type,SPA,INNOV,Acres,Water,Sewer,CityLimit,CCW,ServiceArea,LuseStaff,UrbanDesign,RezoneStaff,Received,Approved,Decision,births_to_adolescents,grocery_proximate_units,prenatal_care,grocery_proximity,low_birthweight,public_health_insurance,age_of_death,impervious_surface,water_consumption,neighborhood_school_attendance,highschool_graduation_rate,proficiency_elementary_school,proficiency_middle_school,proficiency_high_school,student_absenteeism,voters_participating,neighborhood_organizations,voter_participation,vacant_land,population_density,population,transit_ridership,street_connectivity,bicycle_friendliness
110,2016,"MT Island Promenade, LLC",BD(CD),MUDD-O,CD,no,NO,125.13,CMUD,CMUD,YES,Mixed Use Activity Center,Northwest,Gonzalez_Alberto,Grant Meacci,Lyte-Graham_Claire,2016/07/25 00:00:00+00,2017/01/17 00:00:00+00,App,0.0,251.0,66.7,33.0,25.5,8.0,68.0,5.6,133.0,71.9,88.0,42.11,53.1,58.3,12.0,852.0,-1.0,79.0,20.1,1.0,1856.0,-1.0,1.08,1.2
110,2017,"Saturday Night, LLC",R-3,I-1(CD),CD,no,NO,3.78,CMUD,CMUD,YES,Mixed Use Activity Center,Northwest,Gonzalez_Alberto,Grant Meacci,Lyte-Graham_Claire,2017/02/24 00:00:00+00,2017/12/18 00:00:00+00,App,0.0,251.0,66.7,32.0,25.5,8.0,68.0,5.7,133.33333333333334,64.0,100.0,45.7,35.2,18.2,13.0,199.0,-1.0,18.0,20.1,1.0,1870.0,-1.0,1.08,1.1
111,2016,Foundry Commercial,I-2(CD),I-1,CD,no,NO,23.7,CMUD,CMUD,YES,Industrial Activity Center,Northwest,Gonzalez_Alberto,Grant Meacci,John Kinley,2016/07/22 00:00:00+00,2016/10/17 00:00:00+00,App,0.0,0.0,62.3,0.0,9.4,16.0,63.0,14.6,170.0,52.8,87.0,43.59,41.6,48.6,5.0,1320.0,0.0,73.0,37.9,4.0,3002.0,28.0,1.19,1.3
111,2015,"Averitt Express, Inc.",I-1,I-2(CD),CD,SPA,NO,15.88,CMUD,CMUD,YES,Industrial Activity Center,Southwest,John Kinley,Dixon_Bridget,Lyte-Graham_Claire,2014/12/22 00:00:00+00,2015/04/20 00:00:00+00,App,0.0,0.0,62.29999999999999,0.0,9.4,16.0,63.0,13.6,170.0,52.49,87.0,48.148148148148096,41.24,40.0,7.124681933842241,170.0,0.0,12.0,37.5,4.0,3194.0,28.0,1.19,1.3
111,2016,"Horizons at Steele Creek, LLC",R-3,R-17MF(CD),CD,no,NO,3.2,CMUD,CMUD,YES,Wedge,Northwest,Gonzalez_Alberto,Grant Meacci,Lyte-Graham_Claire,2015/12/28 00:00:00+00,2016/06/20 00:00:00+00,App,0.0,0.0,62.3,0.0,9.4,16.0,63.0,14.6,170.0,52.8,87.0,43.59,41.6,48.6,5.0,1320.0,0.0,73.0,37.9,4.0,3002.0,28.0,1.19,1.3
111,2016,Foundry Commercial,R-3,I-1,CD,no,NO,23.7,CMUD,CMUD,YES,Industrial Activity Center,Northwest,Gonzalez_Alberto,Grant Meacci,John Kinley,2016/07/22 00:00:00+00,2016/10/17 00:00:00+00,App,0.0,0.0,62.3,0.0,9.4,16.0,63.0,14.6,170.0,52.8,87.0,43.59,41.6,48.6,5.0,1320.0,0.0,73.0,37.9,4.0,3002.0,28.0,1.19,1.3
113,2019,"JDSI, LLC",R-3,R-8,NC,no,NO,33.4848,CMUD,CMUD,YES,Wedge,North,Charlotte Lamb,Grant Meacci,Michael Russell,2019/01/10 11:40:49+00,2019/04/15 00:00:00+00,App,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
113,2019,"JDSI, LLC",I-1,R-8,NC,no,NO,33.4848,CMUD,CMUD,YES,Wedge,North,Charlotte Lamb,Grant Meacci,Michael Russell,2019/01/10 11:40:49+00,2019/04/15 00:00:00+00,App,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
113,2019,"JDSI, LLC",R-3,R-6,NC,no,NO,33.4848,CMUD,CMUD,YES,Wedge,North,Charlotte Lamb,Grant Meacci,Michael Russell,2019/01/10 11:40:49+00,2019/04/15 00:00:00+00,App,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
113,2019,"JDSI, LLC",I-1,R-6,NC,no,NO,33.4848,CMUD,CMUD,YES,Wedge,North,Charlotte Lamb,Grant Meacci,Michael Russell,2019/01/10 11:40:49+00,2019/04/15 00:00:00+00,App,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
